# k/h, pb22, pb2delta, pb2theta, pbs2delta, pbs2theta, pb2s2, pbs22, sigma23
3.739898989898989834e-01 6.081083453409783033e+02 2.494779998941216377e+02 1.400794363128345026e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.859386179343088585e-01
3.790303030303030507e-01 6.126149458137414285e+02 2.495655495724884929e+02 1.412844920274110621e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.948885693052593071e-01
3.840707070707070625e-01 6.170559805207180943e+02 2.478938136456297059e+02 1.407185847875343256e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.037567998507468836e-01
3.891111111111111298e-01 6.214224678922932981e+02 2.479299780767152583e+02 1.418486557442699336e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.125429487679793894e-01
3.941515151515151416e-01 6.252976241275141547e+02 2.436460590958607497e+02 1.386325448161375675e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.212473168573811710e-01
3.991919191919192089e-01 6.298991396998303571e+02 2.421363510510057040e+02 1.382109749278318986e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.298703397054931763e-01
4.042323232323232207e-01 6.340114679858115778e+02 2.424009246350566400e+02 1.395352444071180571e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.384124004424451382e-01
4.092727272727272880e-01 6.380923405986134185e+02 2.381334544551029353e+02 1.363414955942533595e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.468737273499442608e-01
4.143131313131312998e-01 6.420752924907448005e+02 2.385994953399094811e+02 1.378179004559429757e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.552544157522946611e-01
4.193535353535353671e-01 6.459813361846535145e+02 2.373598920705223350e+02 1.376049146693520129e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.635555567013978306e-01
4.243939393939393789e-01 6.498406133198564021e+02 2.330677298738470711e+02 1.343214684335250979e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.717764547515566287e-01
4.294343434343434462e-01 6.536176374185428131e+02 2.338799786252527042e+02 1.361378116532643219e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.799178654895294382e-01
4.344747474747474580e-01 6.573480209925880899e+02 2.328479224269002259e+02 1.360992108653457819e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.879806113637507270e-01
4.395151515151515254e-01 6.610057248060495567e+02 2.285905646193973553e+02 1.328172987835692140e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.959645621060750020e-01
4.445555555555555372e-01 6.645923472319427674e+02 2.277212287079458122e+02 1.328997334039601412e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.044416581114809173e-01
